CourseNumber,Section,Title,MinCredit,MaxCredit,Description
AVO 201,C   ,Aircraft Digital Electronic Instrument Systems,-1,8.0,"Digital techniques for troubleshooting, repairing, and experiments of aircraft electronic instrument systems. Includes aircraft flight instrument systems; computer math and number systems, logic expressions, gates, and families; digital electronics and test equipment; timers; integrated and combinational circuits; computer registers, memory, microprocessors; counters; TDM and FDM; introduction to fiber optics and lasers; data communications; Bus systems. Assesses Core Learning Outcomes 2, 6. Lab fee: $100."
AVO 202,S   ,Avionics Systems for Airframe and Powerplant,-1,8.0,"Fundamentals, troubleshooting, and repair of aircraft avionics systems for airframe and powerplant, including: aerodynamic principles, aircraft structures, communication systems, navigation systems, power distribution systems, avoidance and detection systems, master warning and annunciator systems, radar systems, lighting systems, powerplant systems, and airframe systems. Assesses Core Learning Outcomes 2, 6."
AVO 203,S   ,Avionics Communications,-1,2.0,"Preparation for the FCC General Radiotelephone Operator License and Ship Radar Endorsement, utilizing Federal Communications Commission guidelines, fundamentals of communication and Key Topics. Assesses Core Learning Outcomes 2, 5."
AVO 204,S   ,Principles of Avionics Troubleshooting,-1,2.0,"Identify and isolate avionics system faults through a logical approach using a four step troubleshooting method. Assesses Core Learning Outcomes 2, 5."
BIOL& 211,A   ,Majors Cellular,-1,5.0,"(NS-L) Principles of cellular biology as they apply to organisms. Prerequisite to BIOL&231, BIOL&232 and BIOL&260. Assesses Core Learning Outcomes 2, 3.
Lab fee: $33.25."
BIOL& 211,B   ,Majors Cellular,-1,5.0,"(NS-L) Principles of cellular biology as they apply to organisms. Prerequisite to BIOL&231, BIOL&232 and BIOL&260. Assesses Core Learning Outcomes 2, 3.
Lab fee: $33.25."
BIOL& 231,B   ,Human Anatomy,-1,5.0,"(NS-L)  Detailed examination of the structure of the human body using human models, human skeletons, microscopic slides, digital photographs and animations, fresh animal specimen dissection, and dissection of the preserved cat.  For allied health professional majors. Assesses Core Learning Outcome 1. Lab fee: $73.25."
BIOL& 232,B   ,Human Physiology,-1,5.0,"(NS-L)  Detailed study of the functioning, integration and interrelationships of the following organ systems of the human body using lecture and lab exercises: Neurologic(Including Autonomic and Special Senses), Muscular, Endocrine, Cardiac, Circulatory, Renal, Reproductive (including Pregnancy, Development, Growth and Senescence), Immune, Hematologic, Respiratory. Assesses Core Learning Outcome 6. Lab fee: $42.25."
BT 100,OL  ,Beginning Keyboarding,-1,5.0,"Introduces keying-by-touch system emphasizing correct ergonomics. Development of speed and accuracy.  Includes techniques for editing, saving, opening and closing documents and application of skills to personal letters and reports. Assesses Core Learning Outcome 6."
BT 105,OL  ,Keyboarding,-1,3.0,Improve keyboarding speed and accuracy through the use of programmed software which diagnoses student keyboarding problems and prescribes appropriate practice material. May be repeated one time. Assesses Core Learning Outcome 6.
BT 162,OL  ,Job Search and Professional Development,-1,5.0,"Provides an opportunity to develop skills, attitudes, and practices needed for effective job search. Concentrates on areas of development that are essential but often left out of professional curricula. Focuses on self-assessment, employer research, resume creation, cover and follow-up letters, and interview techniques. Students should enroll in this class within the final two quarters of their degree or certificate program. Assesses Core Learning Outcome 6."
BT 219,OL  ,Introduction to Microsoft Word,-1,5.0,"Introduces word processing functions and applications using Microsoft Word. Covers creating, revising, formatting, saving and retrieving documents; file management; merge; selecting typefaces; creating and centering tables; using pagination; selecting text; formatting footnotes; finding and replacing text and formats; and using multiple windows. Assesses Core Learning Outcome 6."
BUS 130,OL  ,Business Computations,-1,5.0,"Apply mathematical concepts using numerical data in Excel to complete business applications. Create formulas and use functions of Excel to compute basic math operations, fractions, percent, percent increase/decrease, bank reconciliation, payroll, taxes and insurance, discounts, markup/markdown, interest, mortgages, depreciation, and financial statements. Assesses Core Learning Outcome 2."
BUS 150,OL  ,Principles of Marketing,-1,5.0,"(TE)  Introductory study of marketing concepts viewed from a managerial approach.  Study of fundamental business activities that direct flow of goods and services from producer to consumer.  Includes promotion, distribution and pricing. Assesses Core Learning Outcomes 1, 3."
BUS 165,HY  ,Service Essentials for Business,-1,5.0,"(R) The challenges of building a business enterprise by satisfying customer needs. Historical perspectives on transactional versus relational service strategies Interpersonal communication, customer expectations, teamwork, dealing with angry customers, first-call resolution, exploring service culture, and service recovery. Changes in customer expectations concerning technology and capacity to engage with Customer Service Representatives (CSRs) through a variety of communication channels including call centers, texting, instant messaging, and online chat. A study of face-to-face service engagement by a CSR. This course satisfies the Human Relations requirement at EvCC. Assesses Core Learning Outcomes 2, 3."
BUS 165,HYB ,Service Essentials for Business,-1,5.0,"(R) The challenges of building a business enterprise by satisfying customer needs. Historical perspectives on transactional versus relational service strategies Interpersonal communication, customer expectations, teamwork, dealing with angry customers, first-call resolution, exploring service culture, and service recovery. Changes in customer expectations concerning technology and capacity to engage with Customer Service Representatives (CSRs) through a variety of communication channels including call centers, texting, instant messaging, and online chat. A study of face-to-face service engagement by a CSR. This course satisfies the Human Relations requirement at EvCC. Assesses Core Learning Outcomes 2, 3."
BUS 165,OL  ,Service Essentials for Business,-1,5.0,"(R) The challenges of building a business enterprise by satisfying customer needs. Historical perspectives on transactional versus relational service strategies Interpersonal communication, customer expectations, teamwork, dealing with angry customers, first-call resolution, exploring service culture, and service recovery. Changes in customer expectations concerning technology and capacity to engage with Customer Service Representatives (CSRs) through a variety of communication channels including call centers, texting, instant messaging, and online chat. A study of face-to-face service engagement by a CSR. This course satisfies the Human Relations requirement at EvCC. Assesses Core Learning Outcomes 2, 3."
CHEM& 121,C   ,Introduction to Chemistry,-1,5.0,"(NS-L)  Atomic and molecular structure, chemical bonding, nomenclature, states of matter, solutions, acids and bases, stoichiometry, quantitative and qualitative behavior of gases, dimensional analysis, reaction rates and chemical equilibrium.  For students majoring in liberal arts, nursing, radiation technology, pre-occupation therapy, and dental hygiene.  Not recommended for students planning to continue beyond CHEM& 131; see Chemistry series. Assesses Core Learning Outcome 2. Lab fee: $42.25."
CHEM& 140,A   ,General Chemistry Prep w/Lab,-1,5.0,"(NS-L) Includes measurements, properties and structure of matter, nomenclature, and weight relations.  Intended for students who want to obtain the chemistry background needed for the CHEM& 161 - 163 series.  Not intended for students with a recent course in high school chemistry.  This course does not meet the prerequisites for the nursing program. Assesses Core Learning Outcomes 1, 2, 3. Lab fee: $42.25."
CHEM& 140,B   ,General Chemistry Prep w/Lab,-1,5.0,"(NS-L) Includes measurements, properties and structure of matter, nomenclature, and weight relations.  Intended for students who want to obtain the chemistry background needed for the CHEM& 161 - 163 series.  Not intended for students with a recent course in high school chemistry.  This course does not meet the prerequisites for the nursing program. Assesses Core Learning Outcomes 1, 2, 3. Lab fee: $42.25."
CHEM& 140,C   ,General Chemistry Prep w/Lab,-1,5.0,"(NS-L) Includes measurements, properties and structure of matter, nomenclature, and weight relations.  Intended for students who want to obtain the chemistry background needed for the CHEM& 161 - 163 series.  Not intended for students with a recent course in high school chemistry.  This course does not meet the prerequisites for the nursing program. Assesses Core Learning Outcomes 1, 2, 3. Lab fee: $42.25."
CHEM& 163,A   ,General Chemistry w/Lab III,-1,5.5,"(NS-L) Reaction rates and equilibrium, acid-base equilibria, solubility equilibria, thermodynamics, electro chemistry and nuclear chemistry. Assesses Core Learning Outcomes 1, 2, 3. Lab fee: $68.00."
CHEM& 163,B   ,General Chemistry w/Lab III,-1,5.5,"(NS-L) Reaction rates and equilibrium, acid-base equilibria, solubility equilibria, thermodynamics, electro chemistry and nuclear chemistry. Assesses Core Learning Outcomes 1, 2, 3. Lab fee: $68.00."
CHEM& 263,A   ,Organic Chemistry w/Lab III,-1,6.0,"(NS-L)  Chemistry of carbon compounds, with emphasis on structure, nomenclature, reactions, mechanisms, and synthesis of main types of organic compounds.  Assesses Core Learning Outcome 2. Lab fee: $68.00."
CJ 175,OL  ,Introduction to Homeland Security,-1,5.0,"Overview of the issues affecting Homeland Security risk, threat, and vulnerability assessments. The roles of emergency response agencies; identifying critical infrastructure. The role of government to prevent, prepare for, respond to, and recover from acts of terrorism in the United States and throughout the world. Assesses Core Learning Outcomes 1, 2, 3, 4, 5, 6."
CJ 250,OL  ,Cooperative Work Experience,-1,5.0,"Supervised field experience in local law enforcement, corrections and other criminal justice agencies.  Each student works approximately 10 hours per week at a variety of assigned tasks directly associated with the criminal justice system. Assesses Core Learning Outcomes 1, 2, 3, 4, 5, 6."
CJ& 101,OL  ,Introduction to Criminal Justice,-1,5.0,"(TE) Philosophical and historical review of the American criminal justice system; introduction to civil and criminal law; problems with crime and the police; organization and jurisdiction of local, state and federal agencies; career and job opportunities.  It examines the US criminal justice system from the initial incident to the final disposition at state and federal levels.  This is a prerequisite course for the Criminal Justice Program. Assesses Core Learning Outcomes 1, 5, 6."
CL 101,HY  ,Computer Literacy,-1,5.0,"Introduces students to the Windows environment and to the Microsoft Office software program. Emphasis on file management. Uses practical problems to illustrate computer applications including database, spreadsheets, presentation graphics, word processing, email, and internet. BT 100 or keyboarding speed of 20 wpm recommended. Assesses Core Learning Outcome 6."
CL 101,HYB ,Computer Literacy,-1,5.0,"Introduces students to the Windows environment and to the Microsoft Office software program. Emphasis on file management. Uses practical problems to illustrate computer applications including database, spreadsheets, presentation graphics, word processing, email, and internet. BT 100 or keyboarding speed of 20 wpm recommended. Assesses Core Learning Outcome 6."
CL 101,OL2 ,Computer Literacy,-1,5.0,"Introduces students to the Windows environment and to the Microsoft Office software program. Emphasis on file management. Uses practical problems to illustrate computer applications including database, spreadsheets, presentation graphics, word processing, email, and internet. BT 100 or keyboarding speed of 20 wpm recommended. Assesses Core Learning Outcome 6."
COLL 101,MOH ,College Success,-1,2.0,"Develop, understand and apply college success strategies to include college resources and student services, rights and responsibilities, funding college, organization, time management, appreciating diversity, learning  strategies, choosing a college major, achieving college goals and completing an academic plan. Assesses Core Learning Outcomes 1, 6."
COLL 101,OL2 ,College Success,-1,2.0,"Develop, understand and apply college success strategies to include college resources and student services, rights and responsibilities, funding college, organization, time management, appreciating diversity, learning  strategies, choosing a college major, achieving college goals and completing an academic plan. Assesses Core Learning Outcomes 1, 6."
COLL 101,OL3 ,College Success,-1,2.0,"Develop, understand and apply college success strategies to include college resources and student services, rights and responsibilities, funding college, organization, time management, appreciating diversity, learning  strategies, choosing a college major, achieving college goals and completing an academic plan. Assesses Core Learning Outcomes 1, 6."
COLL 101,OL5 ,College Success,-1,2.0,"Develop, understand and apply college success strategies to include college resources and student services, rights and responsibilities, funding college, organization, time management, appreciating diversity, learning  strategies, choosing a college major, achieving college goals and completing an academic plan. Assesses Core Learning Outcomes 1, 6."
COSMT 111,HY1 ,Salon Management,-1,5.0,"Basic overview of salon business operations, including marketing strategies, financial control, factors affecting salon culture, insurance, business laws and health regulations.  Special emphasis is placed on finding a mentor in a salon to observe, record, and report salon business practices. Assesses Core Learning Outcomes 4, 7."
COSMT 111,HY2 ,Salon Management,-1,5.0,"Basic overview of salon business operations, including marketing strategies, financial control, factors affecting salon culture, insurance, business laws and health regulations.  Special emphasis is placed on finding a mentor in a salon to observe, record, and report salon business practices. Assesses Core Learning Outcomes 4, 7."
COSMT 205,A   ,Textured Hair Services Lab and Salon Practice,-1,19.0,"Students will continue to practice salon services on the EvCC Salon floor under the supervision of a licensed cosmetology instructor.  During this class students will learn about and practice the most current and advanced textured hair services requested in the salon. The class will also review how to select the appropriate product used for natural hair styling and as a follow up to chemical textured services. To gain salon experience, students practice on models, mannequins, clients and each other.  Emphasis is placed on safety and quality of work, while meeting industry target time. Assesses Core Learning Outcome 2. Lab fee: $4.33 per credit."
COSMT 205,B   ,Textured Hair Services Lab and Salon Practice,-1,19.0,"Students will continue to practice salon services on the EvCC Salon floor under the supervision of a licensed cosmetology instructor.  During this class students will learn about and practice the most current and advanced textured hair services requested in the salon. The class will also review how to select the appropriate product used for natural hair styling and as a follow up to chemical textured services. To gain salon experience, students practice on models, mannequins, clients and each other.  Emphasis is placed on safety and quality of work, while meeting industry target time. Assesses Core Learning Outcome 2. Lab fee: $4.33 per credit."
COSMT 205,C   ,Textured Hair Services Lab and Salon Practice,-1,19.0,"Students will continue to practice salon services on the EvCC Salon floor under the supervision of a licensed cosmetology instructor.  During this class students will learn about and practice the most current and advanced textured hair services requested in the salon. The class will also review how to select the appropriate product used for natural hair styling and as a follow up to chemical textured services. To gain salon experience, students practice on models, mannequins, clients and each other.  Emphasis is placed on safety and quality of work, while meeting industry target time. Assesses Core Learning Outcome 2. Lab fee: $4.33 per credit."
COSMT 206,A   ,Cosmetology Lab & Shop Practice VI,-1,17.5,"May be used to complete curriculum for special interest projects, and/or to complete required program clock hours.  COSMT 206 is an additional quarter and is optional.  May be repeated one time for credit. Assesses Core Learning Outcome 3. Lab fee: $4.33 per credit."
COSMT 206,B   ,Cosmetology Lab & Shop Practice VI,-1,17.5,"May be used to complete curriculum for special interest projects, and/or to complete required program clock hours.  COSMT 206 is an additional quarter and is optional.  May be repeated one time for credit. Assesses Core Learning Outcome 3. Lab fee: $4.33 per credit."
COSMT 251,A   ,Internship,-1,5.0,"The Cosmetology Internship allows a cosmetology student with advanced standing to gain industry based work experience in an area of special interest.  Under the guidance of a learning plan, and in concert with a cosmetology faculty member, a cosmetology student will work with a contracted salon or other business venture serving this licensed field to accomplish a planned set of learning objectives. Assesses Core Learning Outcomes 1, 3."
CS 132,A   ,Computer Science II C++,-1,5.0,"(NS)  Advanced software development using the C++ programming language, emphasizing object-oriented concepts and fundamental data structures techniques. Introduces concepts of recursion, modularity, encapsulation, inheritance, templates, polymorphic class design, and self-referential data structures; focuses on fundamental abstract data types (stacks, queues, linked lists, binary trees) and their use. Assesses Core Learning Outcomes 2, 6.
Lab fee: $45.55."
CT 203,A   ,Composite Technology 2,-1,20.0,"Theory and application of advanced composite manufacturing principles are covered. Mold manufacturing techniques; tooling, bonding and fastener application; damage inspection and repair. Assesses Core Learning Outcomes 1, 2, 3, 5, 6."
DEVED 096,A   ,Computer Comfort,-1,5.0,Designed for students who need basic computer confidence and skill building. Emphasis is on basic computer skills and learning strategies to help students succeed in college-level classes. No prior computer experience is necessary; recommended for students who are new to computers and hesitant about today's technology as used in college classrooms. May be repeated two times for credit. Assesses Core Learning Outcome 6.
DEVED 104,OL  ,Reading and Thinking for Academics II,-1,5.0,"Recommended for capable readers who want to advance their comprehension, vocabulary skills and speed as well as develop critical thinking skills and enhance their confidence in college reading assignments. Assesses Core Learning Outcomes 1, 2, 3."
EDUC 270,OL  ,Education Portfolio,-1,2.0,"Course designed to introduce education students to the electronic teaching portfolio, and assist them to document their pre-service teaching activities and fulfill professional expectations of many colleges and universities. Assesses Core Learning Outcomes 1, 3, 6."
ELA 010,A   ,ELA Level 1 Communications,-1,10.0,"First level of communications for non-native speakers.  Focus on listening, speaking, reading, writing and computational skills necessary for transition to college and employment.  Assesses Core Learning Outcome 3."
ELA 010,MO1 ,ELA Level 1 Communications,-1,10.0,"First level of communications for non-native speakers.  Focus on listening, speaking, reading, writing and computational skills necessary for transition to college and employment.  Assesses Core Learning Outcome 3."
ELA 010,S   ,ELA Level 1 Communications,-1,10.0,"First level of communications for non-native speakers.  Focus on listening, speaking, reading, writing and computational skills necessary for transition to college and employment.  Assesses Core Learning Outcome 3."
ELA 020,A   ,ELA Level 2 Communications,-1,10.0,Continuation of ELA 010.  English Language Acquisition skills designed to prepare the student for transitions to college and employability. Assesses Core Learning Outcome 3.
ELA 020,MO1 ,ELA Level 2 Communications,-1,10.0,Continuation of ELA 010.  English Language Acquisition skills designed to prepare the student for transitions to college and employability. Assesses Core Learning Outcome 3.
ELA 020,MO2 ,ELA Level 2 Communications,-1,10.0,Continuation of ELA 010.  English Language Acquisition skills designed to prepare the student for transitions to college and employability. Assesses Core Learning Outcome 3.
ELA 020,S   ,ELA Level 2 Communications,-1,10.0,Continuation of ELA 010.  English Language Acquisition skills designed to prepare the student for transitions to college and employability. Assesses Core Learning Outcome 3.
ELA 030,MO2 ,ELA Level 3 Communications,-1,10.0,Continuation of ELA 020.  English Language Acquisition skills designed to prepare the student for transitions to college and employability. Assesses Core Learning Outcome 3.
ENG T 100,S   ,Introduction to Engineering Graphics and 2D AutoCAD,-1,4.0,"Theory and application of engineering drawing; sketching and block lettering; geometric construction; representation of normal, inclined oblique, and cylindrical surfaces; standard, section and auxiliary views; dimensioning; and an introduction to designing with a 2D CAD system. Assesses Core Learning Outcomes 1, 2, 6. Lab fee: $45.55."
ENG T 101,S   ,Introduction to Graphics and Measurement,-1,5.0,"An introduction to reading and interpreting engineering graphics using technical drawings of mechanical systems for manufacturing technology students with an emphasis on identifying 2D (plane geometrical) shapes. The student will be also use engineering and mechanical scales and precision measuring instruments to measure sizes, lengths and locations of shapes and features. Algebraic, geometric and trigonometric concepts will be applied. Scientific calculator required. Assesses Core Learning Outcomes 1, 2, 3. Lab fee: $45.55."
ENG T 185,S   ,Introduction to CAD with CATIA v5,-1,4.0,"Introduction to parametric, three-dimensional modeling using CATIA (v5).  Focus on how to navigate within this software, how to create three-dimensional solid models using industry best practices, and then how to create and manipulate assemblies made from these parts. Assesses Core Learning Outcomes 2, 6. Lab fee: $45.55."
ENG T 196,A   ,Advanced Workbenches with CATIA v5,-1,4.0,"Advanced techniques and mastery of the following CATIA v5 work benches: Knowledgeware, DMU Kinematics, Generative Structural Analysis, Generative Sheet Metal Design and Prismatic Machining. Focus on how to embed knowledge in design by applying formulas, using parameters and relations, motion simulation capabilities, performing first order mechanical analysis for 3D systems, designing sheet metal parts in concurrent engineering between the unfolded or folded part representations, and creating NC programs using  3 and 5 axis techniques dedicated to machining parts designed in 3D wireframe or solids geometry as a typical NC Programming techniques. Assesses Core Learning Outcomes 2, 6. Lab fee: $45.55."
ENG T 225,A   ,Engineering Technology Skills Building 1,-1,2.0,Designed for the student who is seeking to improve skills in engineering technology in order to meet industry standards through additional lab time or who is seeking practice time prior to taking certifications tests. The class may be taken up to two times for credit. Assesses Core Learning Outcome 2. Lab fee: $28.60.
ENG T 226,A   ,Engineering Technology Skills Building 2,-1,2.0,"Designed for the student who is seeking to improve current engineering technology skills through additional lab time or who is seeking practice time prior to taking certifications tests. The class may be taken up to two times for credit. Assesses Core Learning Outcome 2.
Lab fee: $28.60."
ENGL 098,A   ,Introduction to College Writing,-1,5.0,"Writing and revising of paragraphs and essays of various types. Includes the writing process, diction, grammatical structures, paragraph and essay patterns, and rhetorical devices such as parallelism, transition, and analogy.  (Specific sections marked ENGL 098D fulfill the diversity requirement for associate degrees.)  Assesses Core Learning Outcome 3."
ENGL 098,B   ,Introduction to College Writing,-1,5.0,"Writing and revising of paragraphs and essays of various types. Includes the writing process, diction, grammatical structures, paragraph and essay patterns, and rhetorical devices such as parallelism, transition, and analogy.  (Specific sections marked ENGL 098D fulfill the diversity requirement for associate degrees.)  Assesses Core Learning Outcome 3."
ENGL 182,A   ,Service Learning,-1,2.0,No Description Available
ENGL 203D,OL  ,Young Adult Literature,-1,5.0,(H) Representative adolescent literature; an examination of the qualities that characterize the teen novel and an application of literary standards to them; a brief history of the genre; and a comparison of books from 1960 to the present. (Specific sections marked ENGL 203D fulfill the diversity requirement for associate degrees.)
ENGL& 101,B   ,English Composition I,-1,5.0,"(C)  Writing clear, unified, coherent, and well-developed essays of increasing complexity with an emphasis on critical thinking skills.  Essays may be about literary or nonliterary texts, or they may rely upon such texts as points of departure for discussion.  (Specific sections marked ENGL& 101D fulfill the diversity requirement for associate degrees.) Assesses Core Learning Outcomes 2, 3."
ENGL& 101,C   ,English Composition I,-1,5.0,"(C)  Writing clear, unified, coherent, and well-developed essays of increasing complexity with an emphasis on critical thinking skills.  Essays may be about literary or nonliterary texts, or they may rely upon such texts as points of departure for discussion.  (Specific sections marked ENGL& 101D fulfill the diversity requirement for associate degrees.) Assesses Core Learning Outcomes 2, 3."
ENGL& 101,E   ,English Composition I,-1,5.0,"(C)  Writing clear, unified, coherent, and well-developed essays of increasing complexity with an emphasis on critical thinking skills.  Essays may be about literary or nonliterary texts, or they may rely upon such texts as points of departure for discussion.  (Specific sections marked ENGL& 101D fulfill the diversity requirement for associate degrees.) Assesses Core Learning Outcomes 2, 3."
ENGL& 101,MOH ,English Composition I,-1,5.0,"(C)  Writing clear, unified, coherent, and well-developed essays of increasing complexity with an emphasis on critical thinking skills.  Essays may be about literary or nonliterary texts, or they may rely upon such texts as points of departure for discussion.  (Specific sections marked ENGL& 101D fulfill the diversity requirement for associate degrees.) Assesses Core Learning Outcomes 2, 3."
