CourseNumber,Title,MinCredit,MaxCredit,Description
AVA 103J   ,Powerplant Technology,-1,10.0,"Theory and Practice: Maintenance and overhaul of aircraft turbine engines, fuel metering, exhaust, induction and fuel systems for both reciprocating and turbine engines.  Students inspect, check, repair and service the above systems.  Course included in FAA approved Part 147 curriculum. Assesses Core Learning Outcomes 2, 6. Lab fee: $71.63."
AVA 204A   ,Airframe Technology,-1,10.0,"Theory and Practice: Position and warning systems, fire protection, landing-gear systems including brakes, hydraulic and pneumatic systems, cabin atmosphere, aircraft electrical, and helicopter theory.  Course included in FAA approved Part 147 curriculum. Assesses Core Learning Outcomes 2, 6.
Lab fee: $71.63."
AVA 204J   ,Airframe Technology,-1,10.0,"Theory and Practice: Position and warning systems, fire protection, landing-gear systems including brakes, hydraulic and pneumatic systems, cabin atmosphere, aircraft electrical, and helicopter theory.  Course included in FAA approved Part 147 curriculum. Assesses Core Learning Outcomes 2, 6.
Lab fee: $71.63."
AVO 101A   ,Aircraft Electrical Fundamentals,-1,8.0,"Fundamentals, troubleshooting, and experiments of aircraft electrical circuits; safety practices; electrostatic devices; metric notation; voltage, current, resistors and measurements, switches, fuses, and circuit breakers; tools for troubleshooting, including multimeters and oscilloscopes; magnetism and electromagnetic principles and calculations; relays and meters; Ohms and Kirchhoffs Laws; circuits; electrical generators, inductors, filters, and capacitors; resistance and reactance; transformers; batteries; motors. Assesses Core Learning Outcomes 2, 6. Lab fee: $100."
AVO 102S   ,Aircraft Electronic Fundamentals,-1,8.0,"Fundamentals, troubleshooting, and experiments with aircraft electronics; diodes; power supplies; rectifiers; voltage regulators; transistors; amplifiers; oscillators and multivibrator circuits; latches and flip-flops; transmitters; synchro systems; gyroscopes. Assesses Core Learning Outcomes 2, 6."
AVO 103S   ,Aircraft Wiring Systems,-1,2.0,"Fundamentals, troubleshooting, and repair of aircraft wiring, including acceptable standards for visual, electrical, and mechanical quality. Assesses Core Learning Outcomes 2, 3."
AVO 104S   ,Aircraft Fiber Optic Systems,-1,2.0,"Prepares participants to install, maintain, troubleshoot, and repair fiber optics in the aviation industry. Participants will learn to work safely with materials used in fiber optics, while learning to handle materials properly during the routing, installation, assembly, cleaning, troubleshooting, and repair processes. Assesses Core Learning Outcomes 2, 3, 6."
BIOL 107A   ,Life Science for Everybody,-1,5.0,"(NS-L) Hands-on exploration of how living things interact with each other and their environment to obtain energy and building blocks for growth. For non-science majors. Highly recommended for elementary education majors. Assesses Core Learning Outcomes 1, 2, 3. Lab fee: $82.50."
BIOL& 100B   ,Survey of Biology,-1,5.0,"(NS-L)  General concepts of living organisms, the process of science, and application of biology to human beings and society.  For non-science majors. Assesses Core Learning Outcomes 1, 2, 3. Lab fee: $33.25."
BIOL& 211LC1 ,Majors Cellular,-1,5.0,"(NS-L) Principles of cellular biology as they apply to organisms. Prerequisite to BIOL&231, BIOL&232 and BIOL&260. Assesses Core Learning Outcomes 2, 3.
Lab fee: $33.25."
BIOL& 211LC2 ,Majors Cellular,-1,5.0,"(NS-L) Principles of cellular biology as they apply to organisms. Prerequisite to BIOL&231, BIOL&232 and BIOL&260. Assesses Core Learning Outcomes 2, 3.
Lab fee: $33.25."
BIOL& 211PPS1 ,Majors Cellular: Problem Session,-1,1.0,"Problem session to accompany BIOL& 211. In-depth analysis of concepts and course content, lab report preparation. Non-transferable. Assesses Core Learning Outcomes 1, 2."
BIOL& 211PPS2 ,Majors Cellular: Problem Session,-1,1.0,"Problem session to accompany BIOL& 211. In-depth analysis of concepts and course content, lab report preparation. Non-transferable. Assesses Core Learning Outcomes 1, 2."
BIOL& 222B   ,Majors Cell/Molecular,-1,5.0,"(NS-L) For students intending to major in the sciences.  Metabolism and energetics, structure and function of biomolecules, cell structure and function, current applications of biotechnology and molecular biology.  Second course of three-quarter series. Assesses Core Learning Outcomes 1, 2, 3. Lab fee: $42.25."
BIOL& 223A   ,Majors Organismal Physiology,-1,5.0,"(NS-L) For students intending to major in the sciences.  Animal development and physiology, plant development and physiology, including photosynthesis. Final course of three-quarter series. Assesses Core Learning Outcomes 1, 2, 3, 6. Lab fee: $42.25."
BIOL& 223PPS1 ,Majors Organismal Physiology: Problem Session,-1,1.0,"Problem session to accompany BIOL& 223. In-depth analysis of concepts and course content. Non-transferable. Assesses Core Learning Outcomes 1, 2."
BIOL& 231B   ,Human Anatomy,-1,5.0,"(NS-L)  Detailed examination of the structure of the human body using human models, human skeletons, microscopic slides, digital photographs and animations, fresh animal specimen dissection, and dissection of the preserved cat.  For allied health professional majors. Assesses Core Learning Outcome 1. Lab fee: $73.25."
BIOL& 231C   ,Human Anatomy,-1,5.0,"(NS-L)  Detailed examination of the structure of the human body using human models, human skeletons, microscopic slides, digital photographs and animations, fresh animal specimen dissection, and dissection of the preserved cat.  For allied health professional majors. Assesses Core Learning Outcome 1. Lab fee: $73.25."
BIOL& 232A   ,Human Physiology,-1,5.0,"(NS-L)  Detailed study of the functioning, integration and interrelationships of the following organ systems of the human body using lecture and lab exercises: Neurologic(Including Autonomic and Special Senses), Muscular, Endocrine, Cardiac, Circulatory, Renal, Reproductive (including Pregnancy, Development, Growth and Senescence), Immune, Hematologic, Respiratory. Assesses Core Learning Outcome 6. Lab fee: $42.25."
BIOL& 232B   ,Human Physiology,-1,5.0,"(NS-L)  Detailed study of the functioning, integration and interrelationships of the following organ systems of the human body using lecture and lab exercises: Neurologic(Including Autonomic and Special Senses), Muscular, Endocrine, Cardiac, Circulatory, Renal, Reproductive (including Pregnancy, Development, Growth and Senescence), Immune, Hematologic, Respiratory. Assesses Core Learning Outcome 6. Lab fee: $42.25."
BIOL& 232C   ,Human Physiology,-1,5.0,"(NS-L)  Detailed study of the functioning, integration and interrelationships of the following organ systems of the human body using lecture and lab exercises: Neurologic(Including Autonomic and Special Senses), Muscular, Endocrine, Cardiac, Circulatory, Renal, Reproductive (including Pregnancy, Development, Growth and Senescence), Immune, Hematologic, Respiratory. Assesses Core Learning Outcome 6. Lab fee: $42.25."
BIOL& 232D   ,Human Physiology,-1,5.0,"(NS-L)  Detailed study of the functioning, integration and interrelationships of the following organ systems of the human body using lecture and lab exercises: Neurologic(Including Autonomic and Special Senses), Muscular, Endocrine, Cardiac, Circulatory, Renal, Reproductive (including Pregnancy, Development, Growth and Senescence), Immune, Hematologic, Respiratory. Assesses Core Learning Outcome 6. Lab fee: $42.25."
BIOL& 232E   ,Human Physiology,-1,5.0,"(NS-L)  Detailed study of the functioning, integration and interrelationships of the following organ systems of the human body using lecture and lab exercises: Neurologic(Including Autonomic and Special Senses), Muscular, Endocrine, Cardiac, Circulatory, Renal, Reproductive (including Pregnancy, Development, Growth and Senescence), Immune, Hematologic, Respiratory. Assesses Core Learning Outcome 6. Lab fee: $42.25."
BIOL& 260S   ,Microbiology,-1,5.0,"(NS-L)  Survey of microorganisms and their biological activities, with special emphasis on bacteria. Assesses Core Learning Outcomes 1, 2, 3, 6. Lab fee: $126.50."
BT 100HY  ,Beginning Keyboarding,-1,5.0,"Introduces keying-by-touch system emphasizing correct ergonomics. Development of speed and accuracy.  Includes techniques for editing, saving, opening and closing documents and application of skills to personal letters and reports. Assesses Core Learning Outcome 6."
BT 100OL  ,Beginning Keyboarding,-1,5.0,"Introduces keying-by-touch system emphasizing correct ergonomics. Development of speed and accuracy.  Includes techniques for editing, saving, opening and closing documents and application of skills to personal letters and reports. Assesses Core Learning Outcome 6."
BT 100T   ,Beginning Keyboarding,-1,5.0,"Introduces keying-by-touch system emphasizing correct ergonomics. Development of speed and accuracy.  Includes techniques for editing, saving, opening and closing documents and application of skills to personal letters and reports. Assesses Core Learning Outcome 6."
BT 105MH  ,Keyboarding,-1,3.0,Improve keyboarding speed and accuracy through the use of programmed software which diagnoses student keyboarding problems and prescribes appropriate practice material. May be repeated one time. Assesses Core Learning Outcome 6.
BT 105OL  ,Keyboarding,-1,3.0,Improve keyboarding speed and accuracy through the use of programmed software which diagnoses student keyboarding problems and prescribes appropriate practice material. May be repeated one time. Assesses Core Learning Outcome 6.
BT 115HY  ,Records Management,-1,5.0,"Creation, storage, maintenance, retrieval and disposition of records using manual and electronic methods. Includes alphabetic, geographic, subject, numeric, and chronologic indexing. Assesses Core Learning Outcome 6. Lab fee: $45.55."
BT 130T   ,Editing/Transcription,-1,5.0,Develops entry-level transcription and editing skills and develops understanding of the mechanics of good writing. Proofreading skills are emphasized. Business correspondence is transcribed using WAV files and appropriate software. Assesses Core Learning Outcome 6. Lab fee: $45.55.
BT 181DHY  ,Diversity in Law and Ethics for Health Care Occupations,-1,5.0,"(D) Introduction to law and ethics as it relates to the medical office setting and patient-provider relationships. Emphasizes being inclusive instead of exclusive while exploring components of cultural diversity in the ambulatory health care setting.   Topics include bioethics, professional liability, public duties, informed consent, employment practices, allocation of scarce medical resources, genetic engineering, and choices in life and death. Assesses Core Learning Outcome 4."
BT 181DOL  ,Diversity in Law and Ethics for Health Care Occupations,-1,5.0,"(D) Introduction to law and ethics as it relates to the medical office setting and patient-provider relationships. Emphasizes being inclusive instead of exclusive while exploring components of cultural diversity in the ambulatory health care setting.   Topics include bioethics, professional liability, public duties, informed consent, employment practices, allocation of scarce medical resources, genetic engineering, and choices in life and death. Assesses Core Learning Outcome 4."
BT 182HY  ,Electronic Health Records for the Front Office,-1,5.0,"Preparation to perform medical reception and billing duties using electronic health record software. Focuses on documenting patient visits by using EHR to schedule appointments, check in patients, process intake and exam documentation. Also provides practice using electronic health record (EHR) for reimbursement cycle. Assesses Core Learning Outcome 2."
BT 182OL  ,Electronic Health Records for the Front Office,-1,5.0,"Preparation to perform medical reception and billing duties using electronic health record software. Focuses on documenting patient visits by using EHR to schedule appointments, check in patients, process intake and exam documentation. Also provides practice using electronic health record (EHR) for reimbursement cycle. Assesses Core Learning Outcome 2."
BT 219MH  ,Introduction to Microsoft Word,-1,5.0,"Introduces word processing functions and applications using Microsoft Word. Covers creating, revising, formatting, saving and retrieving documents; file management; merge; selecting typefaces; creating and centering tables; using pagination; selecting text; formatting footnotes; finding and replacing text and formats; and using multiple windows. Assesses Core Learning Outcome 6."
BT 219OL  ,Introduction to Microsoft Word,-1,5.0,"Introduces word processing functions and applications using Microsoft Word. Covers creating, revising, formatting, saving and retrieving documents; file management; merge; selecting typefaces; creating and centering tables; using pagination; selecting text; formatting footnotes; finding and replacing text and formats; and using multiple windows. Assesses Core Learning Outcome 6."
BT 219T   ,Introduction to Microsoft Word,-1,5.0,"Introduces word processing functions and applications using Microsoft Word. Covers creating, revising, formatting, saving and retrieving documents; file management; merge; selecting typefaces; creating and centering tables; using pagination; selecting text; formatting footnotes; finding and replacing text and formats; and using multiple windows. Assesses Core Learning Outcome 6."
BT 240OL  ,Access,-1,5.0,"Presents intermediate/advanced techniques in Microsoft Access. Emphasis on formatting text and numbers; advanced queries and reports, macros, and importing and exporting data. Assesses Core Learning Outcome 6."
BT 240T   ,Access,-1,5.0,"Presents intermediate/advanced techniques in Microsoft Access. Emphasis on formatting text and numbers; advanced queries and reports, macros, and importing and exporting data. Assesses Core Learning Outcome 6."
BT 242HY  ,Excel,-1,5.0,"Presents intermediate/advanced techniques in Microsoft Excel. Emphasis on creating professional-looking workbooks, using templates, creating multiple worksheets and using functions. Assesses Core Learning Outcome 6. Lab fee: $45.55."
BT 243HY  ,Advanced Excel Applications,-1,5.0,"Develop and refine business analysis skills using advanced Excel features.  Enhance spreadsheets and create new workbooks using best business practices and Excel techniques. This course also prepares students for taking the Microsoft Office Excel (core) certification exam. Assesses Core Learning Outcome 6.
elearning support     : $45.55"
BT 243OL  ,Advanced Excel Applications,-1,5.0,"Develop and refine business analysis skills using advanced Excel features.  Enhance spreadsheets and create new workbooks using best business practices and Excel techniques. This course also prepares students for taking the Microsoft Office Excel (core) certification exam. Assesses Core Learning Outcome 6.
elearning support     : $45.55"
BUS 110DOL2 ,Business Communications,-1,5.0,"(D,R) Study of business communication principles within the global workplace. Includes effectively presenting good, neutral, and bad news, direct and persuasive requests, short reports, and spoken presentations to diverse audiences. Also includes listening skills and interpreting nonverbal communication within varying cultures. Assesses Core Learning Outcomes 3, 4."
BUS 130HYA ,Business Computations,-1,5.0,"Apply mathematical concepts using numerical data in Excel to complete business applications. Create formulas and use functions of Excel to compute basic math operations, fractions, percent, percent increase/decrease, bank reconciliation, payroll, taxes and insurance, discounts, markup/markdown, interest, mortgages, depreciation, and financial statements. Assesses Core Learning Outcome 2."
BUS 130HYB ,Business Computations,-1,5.0,"Apply mathematical concepts using numerical data in Excel to complete business applications. Create formulas and use functions of Excel to compute basic math operations, fractions, percent, percent increase/decrease, bank reconciliation, payroll, taxes and insurance, discounts, markup/markdown, interest, mortgages, depreciation, and financial statements. Assesses Core Learning Outcome 2."
BUS 130OL1 ,Business Computations,-1,5.0,"Apply mathematical concepts using numerical data in Excel to complete business applications. Create formulas and use functions of Excel to compute basic math operations, fractions, percent, percent increase/decrease, bank reconciliation, payroll, taxes and insurance, discounts, markup/markdown, interest, mortgages, depreciation, and financial statements. Assesses Core Learning Outcome 2."
BUS 130OL2 ,Business Computations,-1,5.0,"Apply mathematical concepts using numerical data in Excel to complete business applications. Create formulas and use functions of Excel to compute basic math operations, fractions, percent, percent increase/decrease, bank reconciliation, payroll, taxes and insurance, discounts, markup/markdown, interest, mortgages, depreciation, and financial statements. Assesses Core Learning Outcome 2."
BUS 150HY  ,Principles of Marketing,-1,5.0,"(TE)  Introductory study of marketing concepts viewed from a managerial approach.  Study of fundamental business activities that direct flow of goods and services from producer to consumer.  Includes promotion, distribution and pricing. Assesses Core Learning Outcomes 1, 3."
BUS 154OL  ,Human Resources and Supervision,-1,5.0,"Explores the critical elements of human engagement to meet the mission of a business, and the critical role of the supervisor in business and employee success. Areas of emphasis include workforce planning, motivation, leadership, empowerment, authority, employee discipline, communication and training. Key aspects of Human Resources management relating to compensation, benefits, occupational safety, health and security in the context of business success. Assesses Core Learning Outcomes 2, 4."
BUS 155HY  ,Essentials of Retailing,-1,5.0,"Explores the critical elements of retailing and operations within a retail environment. This course covers inventory, customer service and loyalty, merchandising, human resources, loss prevention and shrinkage, profitability and sustainable enterprise. Other areas of focus include sales strategy, marketing, and seasonal influences. This is an introductory course into the dynamic world of retailing and contemporary change in consumer behavior; the course will explore impacts of e-commerce on the traditional brick-and-mortar retail operations. Assesses Core Learning Outcomes 3, 4."
